1:S 600aa0,1 miss 
2:S 7ff000398,8 miss 
3:S 7ff000390,8 miss 
4:S 7ff000378,8 miss 
5:S 7ff000370,8 miss 
6:S 7ff000384,4 miss 
7:L 7ff000384,4 hit 
8:S 7ff000388,4 miss 
9:L 7ff000388,4 hit 
10:L 7ff000384,4 hit 
11:L 7ff000378,8 hit 
12:L 7ff000388,4 hit 
13:L 600a20,4 miss eviction 
14:S 7ff00038c,4 hit 
15:L 7ff000388,4 hit 
16:L 7ff000370,8 hit 
17:L 7ff000384,4 hit 
18:L 7ff00038c,4 hit 
19:S 600a60,4 miss eviction 
20:M 7ff000388,4 hit hit 
21:L 7ff000388,4 hit 
22:L 7ff000384,4 hit 
23:L 7ff000378,8 hit 
24:L 7ff000388,4 hit 
25:L 600a24,4 miss eviction 
26:S 7ff00038c,4 hit 
27:L 7ff000388,4 hit 
28:L 7ff000370,8 hit 
29:L 7ff000384,4 hit 
30:L 7ff00038c,4 hit 
31:S 600a70,4 miss eviction 
32:M 7ff000388,4 hit hit 
33:L 7ff000388,4 hit 
34:L 7ff000384,4 hit 
35:L 7ff000378,8 hit 
36:L 7ff000388,4 hit 
37:L 600a28,4 miss 
38:S 7ff00038c,4 hit 
39:L 7ff000388,4 hit 
40:L 7ff000370,8 hit 
41:L 7ff000384,4 hit 
42:L 7ff00038c,4 hit 
43:S 600a80,4 miss eviction 
44:M 7ff000388,4 hit hit 
45:L 7ff000388,4 hit 
46:L 7ff000384,4 hit 
47:L 7ff000378,8 hit 
48:L 7ff000388,4 hit 
49:L 600a2c,4 hit 
50:S 7ff00038c,4 hit 
51:L 7ff000388,4 hit 
52:L 7ff000370,8 hit 
53:L 7ff000384,4 hit 
54:L 7ff00038c,4 hit 
55:S 600a90,4 miss eviction 
56:M 7ff000388,4 hit hit 
57:L 7ff000388,4 hit 
58:M 7ff000384,4 hit hit 
59:L 7ff000384,4 hit 
60:S 7ff000388,4 hit 
61:L 7ff000388,4 hit 
62:L 7ff000384,4 hit 
63:L 7ff000378,8 hit 
64:L 7ff000388,4 hit 
65:L 600a30,4 miss eviction 
66:S 7ff00038c,4 hit 
67:L 7ff000388,4 hit 
68:L 7ff000370,8 miss eviction 
69:L 7ff000384,4 hit 
70:L 7ff00038c,4 hit 
71:S 600a64,4 miss eviction 
72:M 7ff000388,4 hit hit 
73:L 7ff000388,4 hit 
74:L 7ff000384,4 hit 
75:L 7ff000378,8 hit 
76:L 7ff000388,4 hit 
77:L 600a34,4 hit 
78:S 7ff00038c,4 hit 
79:L 7ff000388,4 hit 
80:L 7ff000370,8 hit 
81:L 7ff000384,4 hit 
82:L 7ff00038c,4 hit 
83:S 600a74,4 miss eviction 
84:M 7ff000388,4 hit hit 
85:L 7ff000388,4 hit 
86:L 7ff000384,4 hit 
87:L 7ff000378,8 hit 
88:L 7ff000388,4 hit 
89:L 600a38,4 miss eviction 
90:S 7ff00038c,4 hit 
91:L 7ff000388,4 hit 
92:L 7ff000370,8 hit 
93:L 7ff000384,4 hit 
94:L 7ff00038c,4 hit 
95:S 600a84,4 miss eviction 
96:M 7ff000388,4 hit hit 
97:L 7ff000388,4 hit 
98:L 7ff000384,4 hit 
99:L 7ff000378,8 hit 
100:L 7ff000388,4 hit 
101:L 600a3c,4 hit 
102:S 7ff00038c,4 hit 
103:L 7ff000388,4 hit 
104:L 7ff000370,8 hit 
105:L 7ff000384,4 hit 
106:L 7ff00038c,4 hit 
107:S 600a94,4 miss eviction 
108:M 7ff000388,4 hit hit 
109:L 7ff000388,4 hit 
110:M 7ff000384,4 hit hit 
111:L 7ff000384,4 hit 
112:S 7ff000388,4 hit 
113:L 7ff000388,4 hit 
114:L 7ff000384,4 hit 
115:L 7ff000378,8 hit 
116:L 7ff000388,4 hit 
117:L 600a40,4 miss eviction 
118:S 7ff00038c,4 hit 
119:L 7ff000388,4 hit 
120:L 7ff000370,8 hit 
121:L 7ff000384,4 hit 
122:L 7ff00038c,4 hit 
123:S 600a68,4 miss eviction 
124:M 7ff000388,4 hit hit 
125:L 7ff000388,4 hit 
126:L 7ff000384,4 hit 
127:L 7ff000378,8 hit 
128:L 7ff000388,4 hit 
129:L 600a44,4 hit 
130:S 7ff00038c,4 hit 
131:L 7ff000388,4 hit 
132:L 7ff000370,8 hit 
133:L 7ff000384,4 hit 
134:L 7ff00038c,4 hit 
135:S 600a78,4 miss eviction 
136:M 7ff000388,4 hit hit 
137:L 7ff000388,4 hit 
138:L 7ff000384,4 hit 
139:L 7ff000378,8 hit 
140:L 7ff000388,4 hit 
141:L 600a48,4 miss eviction 
142:S 7ff00038c,4 hit 
143:L 7ff000388,4 hit 
144:L 7ff000370,8 hit 
145:L 7ff000384,4 hit 
146:L 7ff00038c,4 hit 
147:S 600a88,4 miss eviction 
148:M 7ff000388,4 hit hit 
149:L 7ff000388,4 hit 
150:L 7ff000384,4 hit 
151:L 7ff000378,8 hit 
152:L 7ff000388,4 hit 
153:L 600a4c,4 miss eviction 
154:S 7ff00038c,4 hit 
155:L 7ff000388,4 hit 
156:L 7ff000370,8 hit 
157:L 7ff000384,4 hit 
158:L 7ff00038c,4 hit 
